Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.73952000E+02	-3.29388091E+01	-4.29599958E+01	-3.88290135E+01	-8.77070509E+01	-5.38638923E+01	-4.16397364E+01	
-1.73916000E+02	-3.29756167E+01	-4.29774141E+01	-3.87215017E+01	-8.76899431E+01	-5.38870147E+01	-4.16391775E+01	
-1.73880000E+02	-3.30123925E+01	-4.29948999E+01	-3.86146841E+01	-8.76727731E+01	-5.39101819E+01	-4.16386244E+01	
-1.73844000E+02	-3.30491577E+01	-4.30123862E+01	-3.85085193E+01	-8.76555300E+01	-5.39333847E+01	-4.16380844E+01	
-1.73808000E+02	-3.30859090E+01	-4.30299111E+01	-3.84030670E+01	-8.76382120E+01	-5.39566215E+01	-4.16375443E+01	
-1.73772000E+02	-3.31226558E+01	-4.30474546E+01	-3.82982532E+01	-8.76208427E+01	-5.39799002E+01	-4.16370199E+01	
-1.73736000E+02	-3.31593685E+01	-4.30650386E+01	-3.81940936E+01	-8.76033974E+01	-5.40032099E+01	-4.16364969E+01	
-1.73700000E+02	-3.31960656E+01	-4.30826245E+01	-3.80905954E+01	-8.75858972E+01	-5.40265589E+01	-4.16359886E+01	
-1.73664000E+02	-3.32327476E+01	-4.31002574E+01	-3.79877417E+01	-8.75683208E+01	-5.40499552E+01	-4.16354812E+01	
-1.73628000E+02	-3.32693987E+01	-4.31179069E+01	-3.78855292E+01	-8.75506881E+01	-5.40733857E+01	-4.16349856E+01	
-1.73592000E+02	-3.33060234E+01	-4.31355804E+01	-3.77839302E+01	-8.75330144E+01	-5.40968500E+01	-4.16344991E+01	
-1.73556000E+02	-3.33426446E+01	-4.31532999E+01	-3.76829652E+01	-8.75152486E+01	-5.41203634E+01	-4.16340094E+01	
-1.73520000E+02	-3.33792281E+01	-4.31709899E+01	-3.75826066E+01	-8.74974399E+01	-5.41439091E+01	-4.16335295E+01	
-1.73484000E+02	-3.34157789E+01	-4.31887175E+01	-3.74828906E+01	-8.74795624E+01	-5.41674955E+01	-4.16330681E+01	
-1.73448000E+02	-3.34522988E+01	-4.32064912E+01	-3.73837538E+01	-8.74616223E+01	-5.41911212E+01	-4.16326100E+01	
-1.73412000E+02	-3.34887677E+01	-4.32242725E+01	-3.72852092E+01	-8.74436351E+01	-5.42147841E+01	-4.16321609E+01	
