Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.76472000E+02	-5.03345584E+01	-4.91109016E+01	-8.28749585E+01	-1.01797656E+02	-8.98518908E+01	-8.19091620E+01	
-1.76436000E+02	-5.03574445E+01	-4.91076127E+01	-8.27750881E+01	-1.01797781E+02	-8.98589745E+01	-8.19087399E+01	
-1.76400000E+02	-5.03803834E+01	-4.91043350E+01	-8.26762697E+01	-1.01797894E+02	-8.98660621E+01	-8.19083254E+01	
-1.76364000E+02	-5.04033854E+01	-4.91010548E+01	-8.25785463E+01	-1.01797996E+02	-8.98731491E+01	-8.19079126E+01	
-1.76328000E+02	-5.04264609E+01	-4.90977833E+01	-8.24818228E+01	-1.01798087E+02	-8.98802370E+01	-8.19075050E+01	
-1.76292000E+02	-5.04495915E+01	-4.90945171E+01	-8.23861092E+01	-1.01798166E+02	-8.98873282E+01	-8.19071008E+01	
-1.76256000E+02	-5.04727870E+01	-4.90912541E+01	-8.22913912E+01	-1.01798233E+02	-8.98944201E+01	-8.19067006E+01	
-1.76220000E+02	-5.04960368E+01	-4.90879944E+01	-8.21976126E+01	-1.01798290E+02	-8.99015113E+01	-8.19063050E+01	
-1.76184000E+02	-5.05193634E+01	-4.90847430E+01	-8.21048081E+01	-1.01798334E+02	-8.99086065E+01	-8.19059153E+01	
-1.76148000E+02	-5.05427431E+01	-4.90814962E+01	-8.20129308E+01	-1.01798367E+02	-8.99157014E+01	-8.19055275E+01	
-1.76112000E+02	-5.05661859E+01	-4.90782542E+01	-8.19219513E+01	-1.01798389E+02	-8.99227980E+01	-8.19051467E+01	
